eventID,bn_wt,zns_wt,x_um,y_um,depth_um,alpha_len_um,li7_len_um,edep_keV
316,50,50,-1282.47,-9318.21,67.8511,4.16312,1.41856,2317.06
317,50,50,1586.52,8157.44,135.05,4.16363,1.41743,2583.03
318,50,50,-8835.91,-8683.67,125.851,4.16348,2.75571,2312.91
319,50,50,-9103.3,8137.8,164.086,4.16306,1.41734,2313.53
320,50,50,-3551.49,-3053.72,152.918,4.16334,1.41557,2312.91
321,50,50,-1821.66,-9614.63,96.4591,4.16374,1.95776,2311.59
322,50,50,3880.86,-7673.38,144.944,4.16408,1.41429,2312.91
323,50,50,7948.27,2085.51,12.2034,4.16393,1.86277,2316.1
324,50,50,2312.03,-4684.3,42.629,4.16287,2.00002,2311.44
325,50,50,8912.98,5562.41,1.0204,4.9971,2.89635,2790.12
326,50,50,4214.19,-5329.6,37.7012,4.16325,1.41868,2790.46
327,50,50,-3088.79,7261.6,181,4.16446,2.31586,2314.09
328,50,50,-9722.12,-2069.52,41.213,4.16406,1.70903,2319.81
329,50,50,-3008.22,4560.6,43.9308,4.1643,2.08652,2312.91
330,50,50,-8090.82,-3258.72,32.9209,4.16379,2.06571,2316.24
331,50,50,2784.45,1919.96,15.9649,4.16379,1.41643,2311.16
332,50,50,-6074.75,2605.8,50.8173,4.16357,1.41769,2314.72
333,50,50,985.58,-700.381,177.812,4.16402,1.41615,2312.91
334,50,50,1687.23,-6612.49,236.413,4.9974,2.39837,2790.12
335,50,50,-6864.52,1329.38,117.554,4.99735,2.22969,2790.12
336,50,50,8212.85,182.925,46.3606,4.16351,1.84808,2587.45
337,50,50,6466.26,-8452.15,119.835,4.16295,1.95897,2312.9
338,50,50,-3896.18,-826.394,6.84075,4.1635,1.41484,2312.91
339,50,50,3819.18,5984.76,99.2488,4.16352,1.41776,2315.17
340,50,50,-8374.04,1375.36,54.2306,4.16462,2.06375,2482.91
341,50,50,-1612.77,-4561.04,6.40313,4.16383,2.08223,2311.89
342,50,50,6324.29,-1051.05,11.808,4.16346,2.12283,2312.91
343,50,50,-2222.73,7246.71,99.4323,4.16386,1.41785,2315.28
344,50,50,-4278.37,3655.95,1.46047,4.16425,1.41479,2309.76
345,50,50,-2308.96,7225.39,148.828,4.1638,2.34335,2558.89
346,50,50,-8350.34,-9850.92,12.4065,4.16464,2.15045,2485.77
347,50,50,-9234.87,-7613.11,31.2525,4.16347,1.41868,2317.54
348,50,50,1792.57,131.893,22.886,4.16314,2.2585,2564.87
349,50,50,9965.81,1953.63,96.1435,4.16292,1.4177,2597.98
350,50,50,-2704,-5132.83,1.30616,4.16451,2.18476,2312.45
351,50,50,9182.03,-7493.62,10.3977,4.16395,1.41913,2319.01
352,50,50,9887.44,-3463.35,42.9107,4.16363,2.07848,2313.65
353,50,50,-6622.98,-9468.5,12.9552,4.16392,1.41882,2318.13
354,50,50,9918.97,-1482.95,81.8031,4.16357,1.62578,2312.91
355,50,50,9530.68,4851.36,12.0732,4.16339,1.94223,2478.48
356,50,50,-4883.51,912.989,91.9622,4.1633,1.41707,2431.36
357,50,50,-4339.94,-1500.34,90.5227,4.16392,1.41534,2312.91
358,50,50,521.496,5781.26,89.8911,4.16415,1.73226,2312.91
359,50,50,-5808.62,811.01,25.2293,4.16381,1.41645,2311.24
360,50,50,-1545.71,9128.33,193.649,4.16367,2.33164,2313.77
361,50,50,-3712.43,1305.04,88.1063,4.16419,1.69272,2360.52
362,50,50,-2939.24,109.372,65.1428,4.16334,1.46284,2312.91
363,50,50,9046.58,4204.18,227.439,4.16313,2.07668,2319.38
364,50,50,-3324.87,-3261.95,8.20536,4.16356,1.97664,2312.91
365,50,50,32.0206,-3875.92,145.876,4.16384,1.41939,2622.45
366,50,50,2167.5,-4839.04,28.1582,4.1639,2.31939,2336.65
367,50,50,1730.57,-3365.64,12.8063,4.16399,1.41937,2319.73
368,50,50,-955.665,6431.49,67.7426,4.16351,1.41463,2344.79
369,50,50,7251.45,2032.04,20.4902,4.16405,1.41897,2318.6
370,50,50,-817.53,8249.17,20.0264,4.1633,1.88336,2312.91
371,50,50,1518.94,-6002.37,17.005,4.16382,2.29031,2426.6
372,50,50,4471.59,7098.58,13.423,4.16458,2.19106,2572.39
373,50,50,-4533.74,3152.59,159.874,4.1634,2.14106,2472.95
374,50,50,-4759.68,-3648.3,2.16206,2.53201,1.72275,2023.93
375,50,50,-2943.41,9333.61,6.99595,4.16426,1.4169,2314.79
376,50,50,-3491.26,-8951.84,22.869,4.1634,1.41806,2315.73
