runID,eventID,trackID,stepID,particle,bn_wt,zns_wt,thickness_um,capture_x_um,capture_y_um,capture_z_um,capture_depth_um,x_mid_um,y_mid_um,z_mid_um,depth_mid_um,step_len_um,edep_keV,ekin_pre_keV,ekin_post_keV
0,2878,4,1,Li7,50,50,100,-1552.56,-5565.6,39.786,10.214,-1552.2,-5565.82,39.2123,10.7877,1.43034,836.908,836.908,0
0,2878,2,1,alpha,50,50,100,-1552.56,-5565.6,39.786,10.214,-1553.63,-5564.96,41.4953,8.50474,4.25029,1472.42,1472.42,0
0,2880,3,1,Li7,50,50,100,-3917.5,-7418.68,38.0925,11.9075,-3917.11,-7418.36,38.6398,11.3602,1.48866,877.604,1013.71,136.108
0,2880,3,2,Li7,50,50,100,-3917.5,-7418.68,38.0925,11.9075,-3916.5,-7417.87,39.5083,10.4917,0.965351,136.108,136.108,0
0,2880,2,1,alpha,50,50,100,-3917.5,-7418.68,38.0925,11.9075,-3918.82,-7419.77,36.2153,13.7847,5.10068,1776.4,1776.4,0
0,2881,4,1,Li7,50,50,100,-5438.62,-606.528,-26.3448,76.3448,-5438.41,-606.047,-26.8243,76.8243,1.429,833.011,833.011,0
0,2881,2,1,alpha,50,50,100,-5438.62,-606.528,-26.3448,76.3448,-5439.24,-607.963,-24.918,74.918,4.24956,1472.15,1472.15,0
0,2882,4,1,Li7,50,50,100,5435.94,8963.34,-19.9966,69.9966,5436.15,8962.68,-19.8075,69.8075,1.43006,836.091,836.091,0
0,2882,2,1,alpha,50,50,100,5435.94,8963.34,-19.9966,69.9966,5435.31,8965.28,-20.5551,70.5551,4.25079,1472.61,1472.61,0
0,2883,4,1,Li7,50,50,100,-5090.93,-3057.68,-31.8966,81.8966,-5091.43,-3058.03,-31.5245,81.5245,1.43188,841.386,841.386,0
0,2883,2,1,alpha,50,50,100,-5090.93,-3057.68,-31.8966,81.8966,-5089.45,-3056.65,-33.0084,83.0084,4.24989,1472.28,1472.28,0
0,2884,4,1,Li7,50,50,100,6355.12,8350.87,-35.1242,85.1242,6355.07,8350.87,-34.4138,84.4138,1.43277,800.859,843.988,43.1281
0,2884,4,2,Li7,50,50,100,6355.12,8350.87,-35.1242,85.1242,6355.02,8350.91,-33.5374,83.5374,0.556943,43.1281,43.1281,0
0,2884,2,1,alpha,50,50,100,6355.12,8350.87,-35.1242,85.1242,6355.28,8350.88,-37.2363,87.2363,4.25005,1472.34,1472.34,0
0,2885,4,1,Li7,50,50,100,63.8991,9359.48,44.9385,5.06147,64.5134,9359.19,44.728,5.27197,1.42985,835.476,835.476,0
0,2885,2,1,alpha,50,50,100,63.8991,9359.48,44.9385,5.06147,62.0716,9360.34,45.5727,4.42728,4.25005,1472.33,1472.33,0
0,2887,4,1,Li7,50,50,100,-8878.49,8946.22,49.6011,0.398918,-8878.48,8945.59,49.2775,0.72248,1.43227,750.184,842.525,92.3406
